Error Code,Description,Explanation,Suggestion
C 71 A 101,Wrong firmware on RL S encoder,,Check for the phases of motor in the joint. Update firmware
C 72 A,Power Supply Unit failure,,
C 72 A 1,0 PSUs are active,Power Supply was not able to deliver 48 V,Check power connection between power supply and Control Board
C 72 A 2,"1 PSU active, but we expect 2(UR 10)",Power Supply was not able to deliver 48 Vor UR 10 flash card in UR 5 robot,Check power connection between power supply and Control Board and check that the flash card and robot match
C 72 A 3,"2 PSUs active, but we expect 1(UR 5)",UR 5 flash card in UR 10 robot,Check that the flash card and robot match
C 74 A,Joint encoder warning,Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,
C 74 A 1,"Invalid decode: Read head misalignment, ring damaged or external magnetic field present.",Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,Check grounding and shielding for EMC problems
C 74 A 2,Speed reading is not valid,Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,
C 74 A 4,System error = malfunction or inconsistent calibration detected,Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,
C 74 A 8,Supply voltage is out of range,Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,
C 74 A 16,Temperature is out of range,Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,
C 74 A 32,Signal lost = Mis aligned read head or damaged ring,Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,
C 74 A 64,Signal low = Too far from magnetic ring,Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,
C 74 A 128,Signal saturation = Too close to magnetic ring,Magnetic encoder error (absolute encoder) . Argument = sum of C 74 errors,
C 75 A,Joint encoder error,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,Check encoder connections
C 75 A 1,"Invalid decode: Read head misalignment, ring damaged or external magnetic field present.",Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,"a) Do a Complete rebooting sequence. b) Check grounding and shielding for EMC problems. c) If this happens more than two times in a row, replace joint"
C 75 A 2,Speed reading is not valid,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 75 A 4,System error = malfunction or inconsistent calibration detected,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 75 A 8,Supply voltage is out of range,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,Check encoder connections
C 75 A 16,Temperature is out of range,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,Check encoder connections
C 75 A 32,Signal lost = Mis aligned read head or damaged ring,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,"a) Do a Complete rebooting sequence. b) Check grounding and shielding for EMC problems. c) If this happens more than two times in a row, replace joint"
C 75 A 64,Signal low = Too far from magnetic ring,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,"a) Do a Complete rebooting sequence. b) Check grounding and shielding for EMC problems. c) If this happens more than two times in a row, replace joint"
C 75 A 128,Signal saturation = Too close to magnetic ring,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,"a) Do a Complete rebooting sequence. b) Check grounding and shielding for EMC problems. c) If this happens more than two times in a row, replace joint"
C 75 A 200,Position from joint encoder does not change while motor is running,Magnetic encoder error (absolute encoder) . Argument = sum of C 75 errors,Check encoder connections
C 76 A,Joint encoder communication CRC issue,Error between sensor and joint circuit,Check connections or very heavy electrical noise
C 77 A,Sudden position change detected on the joint-encoder,The position reading from the encoder was different than expected.,
C 78 A,Large sudden position change detected on the joint-encoder,"The position reading from the encoder was severely different than expected, the latest measurement was discarded. The argument relates to the size of the position change.",
C 85 A 200,Position from motor encoder does not change while motor is running,,
C 85 A,Motor encoder error,,
C 100 A,Robot changed mode,"Status warning, general mode change",Check preceding errors in log history
C 101 A,Real Robot Connected,,
C 102 A,Real Robot not connected– Simulating Robot,,
C 103 A,Communication issue,,
C 103 A 1,Connection to Safety Control Board lost,PC did not receive 3 packets in a row,a) Check that the Ethernet cable between Motherboard and Control Board is connected. b) Do a Complete rebooting sequence
C 103 A 2,Package lost from Safety Control Board,,
C 103 A 3,Ethernet connection initialization with Safety Control Board failed,,
C 104 A,Error = Empty command sent to robot,,
C 111 A,Something is pulling the robot,,"Check TCP configuration, payload and mounting settings"
C 115 A,Unknown robot type,The robot type specified in the configuration is unknown,
C 116 A,Realtime part warning,Possible CPU-overload due to structure of user program,Restructure user program
C 117 A,Restart S CB failed,The Control Board couldn’t be re booted from the controller.,Do a Complete rebooting sequence
C 150 A,Protective Stop: Position close to joint limits,,
C 151 A,Protective Stop: Tool orientation close to limits,,
C 152 A,Protective Stop: Position close to safety plane limits,The robot TCP or a body link has approached or crossed a configured safety plane boundary defined in the safety configuration.,a) Review safety plane positions in the safety configuration. b) Modify the robot program to keep all motion within the defined safety zones. c) Check that the correct safety configuration is active.
C 153 A,Protective Stop: Position deviates from path,,
C 153 A 0,(base),,"Check payload, center of gravity and acceleration settings. Log screen may contain additional information."
C 153 A 1,(shoulder),,"Check payload, center of gravity and acceleration settings. Log screen may contain additional information."
C 153 A 2,(elbow),,"Check payload, center of gravity and acceleration settings. Log screen may contain additional information."
C 153 A 3,(wrist 1),,"Check payload, center of gravity and acceleration settings. Log screen may contain additional information."
C 153 A 4,(wrist 2),,"Check payload, center of gravity and acceleration settings. Log screen may contain additional information."
C 153 A 5,(wrist 3),,"Check payload, center of gravity and acceleration settings. Log screen may contain additional information."
C 154 A,Protective Stop: Position in singularity,Robot cannot move linear near a singularity,Use Move J or change the motion
C 155 A,"Protective Stop: Robot cannot maintain its position, check if payload is correct",,
C 156 A,"Protective Stop: Wrong payload or mounting detected, or something is pushing the robot when entering Free drive mode",The robot may move unexpected due to wrong settings,Verify that the TCP configuration and mounting in the used installation is correct
C 157 A,Protective Stop: Collision detected by joint,,
C 157 A 0,"(base) . Check payload, center of gravity and acceleration settings. Log screen may contain additional information.",,Make sure no objects are in the path of the robot and resume the program.
C 157 A 1,"(shoulder) . Check payload, center of gravity and acceleration settings. Log screen may contain additional information.",,Make sure no objects are in the path of the robot and resume the program.
C 157 A 2,"(elbow) . Check payload, center of gravity and acceleration settings. Log screen may contain additional information.",,Make sure no objects are in the path of the robot and resume the program.
C 157 A 3,"(wrist 1) . Check payload, center of gravity and acceleration settings. Log screen may contain additional information.",,Make sure no objects are in the path of the robot and resume the program.
C 157 A 4,"(wrist 2) . Check payload, center of gravity and acceleration settings. Log screen may contain additional information.",,Make sure no objects are in the path of the robot and resume the program.
C 157 A 5,"(wrist 3) . Check payload, center of gravity and acceleration settings. Log screen may contain additional information.",,Make sure no objects are in the path of the robot and resume the program.
C 158 A,Protective Stop: Collision detected by joint,"The joint torque model detected an unexpected resistive force consistent with a physical collision while the payload is specified as 0 kg, making the collision threshold very sensitive.",a) Set the correct payload mass and center of gravity in the installation settings. b) Clear any obstruction from the workspace. c) Verify acceleration and speed settings are appropriate for the mounted tool.
C 158 A 0,"(base) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 158 A 1,"(shoulder) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 158 A 2,"(elbow) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 158 A 3,"(wrist 1) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 158 A 4,"(wrist 2) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 158 A 5,"(wrist 3) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 159 A,Protective Stop: Position deviates from path,,
C 159 A 0,"(base) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 159 A 1,"(shoulder) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 159 A 2,"(elbow) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 159 A 3,"(wrist 1) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 159 A 4,"(wrist 2) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 159 A 5,"(wrist 3) . The user specified payload is 0 kg, please make sure this is correct.",Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correctly specified.
C 160 A,Protective stop: The robot was powered off last time due to a joint position disagreement,,"a) Verify that the robot position in the 3 D graphics matches the real robot, to ensure that the encoders function before releasing the brakes. Stand back and monitor the robot performing its first program cycle as expected. b) If the position is not correct, the robot must be repaired. In this case, click Power Off Robot. c) If the position is correct, please tick the check box below the 3 D graphics and click Robot Position Verified"
C 161 A,"Protective stop: Large movement of the robot detected while it was powered off. The joints were moved while it was powered off, or the encoders do not function",,"a) Verify that the robot position in the 3 D graphics matches the real robot, to ensure that the encoders function before releasing the brakes. Stand back and monitor the robot performing its first program cycle as expected. b) If the position is not correct, the robot must be repaired. In this case, click Power Off Robot. c) If the position is correct, please tick the check box below the 3 D graphics and click Robot Position Verified"
C 162 A,The protective stop was likely caused by incorrectly specified payload mass and/or center of gravity.,Specifying an incorrect payload mass and/or center of gravity may cause poor robot performance and/or protective stops.,Make sure the specified payload mass and center of gravity are correct.
C 171 A,Issue with blends,,
C 171 A 0,A Move C-waypoint were skipped due to a blend.,The value for the blend radius is too large compared to the distance between the way points.,Decrease the blend radius or choose way points that are further apart.
C 171 A 1,Blend radius too small in a Move C,,Increase blend in Move C
C 171 A 3,A Servo C-waypoint were skipped due to a blend.,The value for the blend radius is too large compared to the distance between the way points.,Decrease the blend radius or choose way points that are further apart.
C 171 A 4,"Overlapping Blends in a Move J, a waypoint was skipped",,Decrease the blend radius or choose way points that are further apart.
C 171 A 5,"Overlapping Blends in a Move J, a waypoint was skipped",,Decrease the blend radius or choose way points that are further apart.
C 171 A 6,"Overlapping Blends in a Move J, a waypoint was skipped",,Decrease the blend radius or choose way points that are further apart.
C 171 A 7,"Overlapping Blends in a Move J, a waypoint was skipped",,Decrease the blend radius or choose way points that are further apart.
C 171 A 9,A Move P-waypoint were skipped due to a blend.,The value for the blend radius is too large compared to the distance between the way points.,Decrease the blend radius or choose way points that are further apart.
C 171 A 10,Blend radius too small error in a Move P,,
C 171 A 11,"Overlapping Blends in a Move L, a waypoint was skipped",,Decrease the blend radius or choose way points that are further apart.
C 171 A 12,"Overlapping Blends in a Move L, a waypoint was skipped",,Decrease the blend radius or choose way points that are further apart.
C 171 A 13,"Overlapping Blends in a Move L, a waypoint was skipped",,Decrease the blend radius or choose way points that are further apart.
C 171 A 14,"Overlapping Blends in a Move L, a waypoint was skipped",,Decrease the blend radius or choose way points that are further apart.
C 172 A,Illegal control mode,,
C 173 A 0,Robot motion causes too high joint torques on Base.,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 1,Robot motion causes too high joint torques on Shoulder.,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 2,Robot motion causes too high joint torques on Elbow.,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 3,Robot motion causes too high joint torques on Wrist 1.,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 4,Robot motion causes too high joint torques on Wrist 2.,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 5,Robot motion causes too high joint torques on Wrist 3.,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 6,Robot motion causes too high joint torques on Base. Problem identified in program,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 7,Robot motion causes too high joint torques on Shoulder. Problem identified in program,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 8,Robot motion causes too high joint torques on Elbow. Problem identified in program,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 9,Robot motion causes too high joint torques on Wrist 1. Problem identified in program,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 10,Robot motion causes too high joint torques on Wrist 2. Problem identified in program,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 173 A 11,Robot motion causes too high joint torques on Wrist 3. Problem identified in program,,"Review your accelerations, blends and if there are collisions or excessive torques in the joint, adjust accordingly."
C 174 A 0,Robot motion causes too high jumpin joint torques on Base.,,
C 174 A 1,Robot motion causes too high jumpin joint torques on Shoulder.,,
C 174 A 2,Robot motion causes too high jumpin joint torques on Elbow.,,
C 174 A 3,Robot motion causes too high jumpin joint torques on Wrist 1.,,
C 174 A 4,Robot motion causes too high jumpin joint torques on Wrist 2.,,
C 174 A 5,Robot motion causes too high jumpin joint torques on Wrist 3.,,
C 174 A 6,Base. Problem identified when executing program on a specified line.,,
C 174 A 7,Shoulder. Problem identified when executing program on a specified line.,,
C 174 A 8,Elbow. Problem identified when executing program on a specified line.,,
C 174 A 9,Wrist 1. Problem identified when executing program on a specified line.,,
C 174 A 10,Wrist 2. Problem identified when executing program on a specified line.,,
C 174 A 11,Wrist 3. Problem identified when executing program on a specified line.,,
C 187 A 1,Temperature sensor test failed,Starting temperature were lower than expected,Make sure that the robot is running on the allowed range of temperature.
C 187 A 2,Temperature sensor test failed,Starting temperature were higher than expected,Make sure that the robot is running on the allowed range of temperature.
C 187 A 3,Temperature sensor test failed,Temperature increased less than expected during warm up,Make sure that the robot is running on the allowed range of temperature.
C 187 A 4,Temperature sensor test failed,Temperature increased more than expected during warm up,Make sure that the robot is running on the allowed range of temperature.
C 191 A,Safety system violation,,
C 191 A 1,Joint position limit violated,The maximum range has been exceeded,
C 191 A 2,Joint speed limit violated,The maximum speed has been exceeded,
C 191 A 3,TCP speed limit violated,The maximum speed has been exceeded,
C 191 A 4,TCP position limit violated,The maximum range has been exceeded,
C 191 A 5,TCP orientation limit violated,The maximum orientation has been exceeded,
C 191 A 6,Power limit violated,The maximum power has been exceeded,
C 191 A 7,Joint torque window violated,The maximum torque has been exceeded,
C 191 A 8,Joint torque window too large,The maximum torque has been exceeded,
C 191 A 9,Reduced mode output violation,,
C 191 A 10,Safeguards top output violation,,
C 191 A 11,Emergency stop output violation,,
C 191 A 12,Momentum limit violation,,
C 191 A 13,Robot moving output violation,,
C 191 A 14,Robot is not braking in stop mode,"During the braking process, the safety system monitors if the robot brakes as expected. If this is not the case, this error is generated","Check TCP configuration, payload and mounting settings"
C 191 A 15,Robot is moving in stop mode,"When the robot is stopped due to a safety violation or a safeguards top, the safety system generates this error, if the robot moves while in this mode","a) Check if the robot is physically pushed while safeguard stopped. b) Check TCP configuration, payload and mounting settings"
C 191 A 16,Robot did not stop in time,,
C 191 A 17,Received a null vector for TCP orientation,,
C 191 A 18,Robot not stopping output violation,,
C 191 A 19,Invalid safety IO configuration,,
C 191 A 20,Configuration information or limit sets not received,,
C 191 A 21,The other safety processor detected a violation,,
C 191 A 22,Received unknown command from Controller,,
C 191 A 23,Invalid setup of safety limits,,a) Check Firmware/update firmware. b) Do a Complete rebooting sequence
C 191 A 24,"Reduced Mode Output set, while it should not be",,a) Check Firmware/update firmware. b) Do a Complete rebooting sequence
C 191 A 25,"Reduced Mode Output not set, while it should be",,a) Check Firmware/update firmware. b) Do a Complete rebooting sequence
C 191 A 26,"Not Reduced Mode Output set, while it should not be",,a) Check Firmware/update firmware. b) Do a Complete rebooting sequence
C 191 A 27,"Not Reduced Mode Output not set, while it should be",,a) Check Firmware/update firmware. b) Do a Complete rebooting sequence
C 191 A 28,Robot Emergency Stop exceeded maximum stop time,,"a) Check that max payload of the robot has not been exceeded. b) Check TCP configuration, payload and mounting settings"
C 191 A 29,System Emergency Stop exceeded maximum stop time,,"a) Check that max payload of the robot has not been exceeded. b) Check TCP configuration, payload and mounting settings"
C 191 A 30,Safeguard Stop exceeded maximum stop time,,"a) Check that max payload of the robot has not been exceeded. b) Check TCP configuration, payload and mounting settings"
C 191 A 31,Operation mode switch is present while the three position switch is missing,,
C 191 A 32,Joint speed limit violated: Base,,
C 191 A 33,Joint speed limit violated: Shoulder,,
C 191 A 34,Joint speed limit violated: Elbow,,
C 191 A 35,Joint speed limit violated: Wrist 1,,
C 191 A 36,Joint speed limit violated: Wrist 2,,
C 191 A 37,Joint speed limit violated: Wrist 3,,
C 192 A,Safety system fault,,
C 192 A 1,Robot still powered in emergency stop,"When the emergency stop is active, the robot arm powers off. The controller is responsible for sending the power off command. This error is generated if the safety system detects that the robot arm still has power",
C 192 A 2,Robot emergency stop disagreement,E-stop in teach pendant or in robot E-stop circuit problem,Check safety devices and cables/connections to these devices.
C 192 A 3,System emergency stop disagreement,System E-stop circuit problem,Check safety devices and cables/connections to these devices.
C 192 A 4,Safeguards top disagreement,Safeguard circuit problem,Check safety devices and cables/connections to these devices.
C 192 A 5,Euro map safeguard stop disagreement,Euro map circuit problem,Check cables from Control Board to Euro map and to external machine
C 192 A 6,Joint position disagreement,,"a) Check TCP configuration, payload and mounting settings. b) Check that safety settings respected"
C 192 A 7,Joint speed disagreement,,"a) Check TCP configuration, payload and mounting settings. b) Check that safety settings respected"
C 192 A 8,Joint torque disagreement,,"a) Check TCP configuration, payload and mounting settings. b) Check that safety settings respected"
C 192 A 9,TCP speed disagreement,,"a) Check TCP configuration, payload and mounting settings. b) Check that safety settings respected"
C 192 A 10,TCP position disagreement,,"a) Check TCP configuration, payload and mounting settings. b) Check that safety settings respected"
C 192 A 11,TCP orientation disagreement,,"a) Check TCP configuration, payload and mounting settings. b) Check that safety settings respected"
C 192 A 12,Power disagreement,Power calculation: u P-A and u P-B disagreement,
C 192 A 13,Joint torque window disagreement,,
C 192 A 14,Reduced mode input disagreement,Safety I/Ou P-A andu P-B disagreement,Check safety devices and cables/connections to these devices
C 192 A 15,Reduced mode output disagreement,Safety I/Ou P-A andu P-B disagreement,Check safety devices and cables/connections to these devices
C 192 A 16,Safety output failed,The safety output did not reach the correct value in the expected time,Check for short circuit on I/O or for wrong connection to output.
C 192 A 17,Safeguards top output disagreement,Safety I/Ou P-A andu P-B disagreement,Check safety devices and cables/connections to these devices
C 192 A 18,The other safety processor is in fault,,
C 192 A 19,Emergency stop output disagreement,Safety I/Ou P-A andu P-B disagreement,Check safety devices and cables/connections to these devices
C 192 A 20,SPI output error detected,Power supply for the I/Ois not detected,"Check if the connection to the internal power supply is correct. If an external power supply is being used, check if it is powered on and at the correct voltage."
C 192 A 21,Momentum disagreement,,
C 192 A 22,Robot moving output disagreement,,Check safety devices and cables/connections to these devices
C 192 A 23,Wrong processor ID,,
C 192 A 24,Wrong processor revision,,
C 192 A 25,Potential brownout detected,Voltage drop on Control Board or defect Safety Control Board,
C 192 A 26,Emergency stop output disagreement,,Check safety devices and cables/connections to these devices
C 192 A 27,Safeguards top output disagreement,,Check safety devices and cables/connections to these devices
C 192 A 28,Robot not stopping output disagreement,,Check safety devices and cables/connections to these devices
C 192 A 29,Safeguard reset input disagreement,,Check safety devices and cables/connections to these devices
C 192 A 30,Safety processor booted up in fault mode,,
C 192 A 31,Reduced Mode Output disagreement,,Check safety devices and cables/connections to these devices
C 192 A 32,Not Reduced Mode Output disagreement,,Check safety devices and cables/connections to these devices
C 192 A 33,A timing issue occurred during startup. Please restart to proceed,Checksum disagreement between safety processors u A andu B,
C 192 A 34,User safety config checksum disagreement betweenu A and GUI,,
C 192 A 35,Robot config checksum disagreement betweenu A and GUI,,
C 192 A 36,Online RAM test failed,,
C 192 A 37,Not all safety related functionalities are running,,
C 192 A 38,Package too short for CRC calculation,,
C 192 A 39,Three position switch input disagreement,,
C 192 A 40,Operation mode switch input disagreement,,
C 193 A,One of the nodes is in fault mode,,
C 193 A 0,Base Joint,,a) See previous error. b) Update the firmware on the joint. c) Do a Complete rebooting sequence
C 193 A 1,Shoulder Joint,,a) See previous error. b) Update the firmware on the joint. c) Do a Complete rebooting sequence
C 193 A 2,Elbow Joint,,a) See previous error. b) Update the firmware on the joint. c) Do a Complete rebooting sequence
C 193 A 3,Wrist 1 Joint,,a) See previous error. b) Update the firmware on the joint. c) Do a Complete rebooting sequence
C 193 A 4,Wrist 2 Joint,,a) See previous error. b) Update the firmware on the joint. c) Do a Complete rebooting sequence
C 193 A 5,Wrist 3 Joint,,a) See previous error. b) Update the firmware on the joint. c) Do a Complete rebooting sequence
C 193 A 6,Tool,,a) See previous error. b) Do a Complete rebooting sequence
C 193 A 7,Screen 1,Control Board has detected an error on Safety processor 1 in Teach pendant,a) See previous error. b) Do a Complete rebooting sequence
C 193 A 8,Screen 2,Control Board has detected an error on Safety processor 2 in Teach pendant,a) See previous error. b) Do a Complete rebooting sequence
C 193 A 9,Euro map 1,,a) See previous error. b) Do a Complete rebooting sequence
C 193 A 10,Euro map 2,,a) See previous error. b) Do a Complete rebooting sequence
C 194 A,One of the nodes is not booted or not present,,
C 194 A 0,Base Joint,,
C 194 A 1,Shoulder Joint,,
C 194 A 2,Elbow Joint,,
C 194 A 3,Wrist 1 Joint,,
C 194 A 4,Wrist 2 Joint,,
C 194 A 5,Wrist 3 Joint,,
C 194 A 6,Tool,,
C 194 A 7,Screen 1,Control Board has detected an error on Safety processor 1 in Teach pendant,
C 194 A 8,Screen 2,Control Board has detected an error on Safety processor 2 in Teach pendant,
C 194 A 9,Euro map 1,,
C 194 A 10,Euro map 2,,
C 194 A 128,Base not ready while brake release requested,Must be at least in IDLE mode when the brake release is requested,Check for loose communication cable
C 194 A 129,Shoulder not ready while brake release requested,Must be at least in IDLE mode when the brake release is requested,Check for loose communication cable
C 194 A 130,Elbow not ready while brake release requested,Must be at least in IDLE mode when the brake release is requested,Check for loose communication cable
C 194 A 131,Wrist 1 not ready while brake release requested,Must be at least in IDLE mode when the brake release is requested,Check for loose communication cable
C 194 A 132,Wrist 2 not ready while brake release requested,Must be at least in IDLE mode when the brake release is requested,Check for loose communication cable
C 194 A 133,Wrist 3 not ready while brake release requested,Must be at least in IDLE mode when the brake release is requested,Check for loose communication cable
C 194 A 134,Tool not ready while brake release requested,Must be at least in IDLE mode when the brake release is requested,Check for loose communication cable
C 195 A,Conveyor speed too high,Conveyor speed higher than robot can run,Make sure that conveyor tracking is set up correctly
C 195 A 1,for joint speed safety limit,Conveyor speed higher than robot can run,Make sure that conveyor tracking is set up correctly
C 195 A 2,for TCP speed safety limit,Conveyor speed higher than robot can run,Make sure that conveyor tracking is set up correctly
C 195 A 3,for momentum safety limit,Conveyor speed higher than robot can run,Make sure that conveyor tracking is set up correctly
C 196 A,Move P speed too high,Too high speed in relation to blend radius,Reduce speed or increase blend radius in user program
C 197 A,Blend overlap warning,,Review blend values in the program
C 200 A,Safety Control Board hardware error,,Check Safety Control Board functionality
C 200 A 1,Hardware ID is wrong,Safety Control Board: u P-A has detected an error: Wrong Safety Control Board,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 2,M CU type is wrong,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 3,Part ID is wrong,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 4,RAM test failed,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 5,Register test failed,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 6,p Rom Crc test failed,Safety Control Board: u P-A has detected an error: firmware error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 7,Watchdog reset the processor,Safety Control Board: u P-A has detected an error,Check Safety Control Board functionality
C 200 A 8,OV G signal test not passed,Safety Control Board: u P-A has detected an error: over voltage generator,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 9,3 V 3 A power good pin is low,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 10,3 V 3 B power good pin is low,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 11,5 V power good is low,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 12,3 V 3 voltage too low,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 13,3 v 3 voltage too high,Safety Control Board: u P-A has detected an error,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Safety Control Board"
C 200 A 14,48 V input is too low,,"a) Do a Complete rebooting sequence. b) Check 48 V Power supply, current distributer, energy eater and Control Board for issues"
C 200 A 15,48 V input is too high,,"a) Do a Complete rebooting sequence. b) Check 48 V Power supply, current distributer, energy eater and Control Board for issues"
C 200 A 16,24 VIO short circuited,Too high current,a) Do a Complete rebooting sequence. b) Disconnect external I/O connections and check external power supply if connected
C 200 A 17,PC current is too high,Motherboard takes too high current,a) Do a Complete rebooting sequence. b) Check cable between Control Board and Motherboard and check all connections to Motherboard. Also check for short circuit
C 200 A 18,Robot voltage is too low,,"a) Do a Complete rebooting sequence. b) Check for short circuit in robot arm. c) Check 48 V Power supply, current distributer, energy eater and Control Board for issues"
C 200 A 19,Robot voltage is too high,,"a) Do a Complete rebooting sequence. b) Check 48 V Power supply, current distributer, energy eater and Control Board for issues"
C 200 A 20,24 VIO voltage is too low,,"a) Do a Complete rebooting sequence. b) Disconnect I/O, check external power supply if connected and check Control Board for issues"
C 200 A 21,12 V voltage is too high,,"a) Do a Complete rebooting sequence. b) Check 12 V Power supply, cables and Control Board for issues"
C 200 A 22,12 V voltage is too low,,"a) Do a Complete rebooting sequence. b) Check 12 V Power supply, cables and Control Board for issues"
C 200 A 23,It took too long to stabilize 24 V,,a) Do a Complete rebooting sequence. b) Check 24 Vand Control Board for issues
C 200 A 24,It took too long to stabilize 24 VIO,,a) Do a Complete rebooting sequence. b) Check 24 Vand Control Board for issues
C 200 A 25,24 V voltage is too high,,"a) Check external 24 Vand Control Board for issues. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, replace Safety Control Board."
C 200 A 26,24 VIO voltage is too high,,a) Disconnect I/O’s. b) Do a Complete rebooting sequence. c) Check external 24 Vand Control Board for issues
C 201 A,Setup of Safety Control Board failed,,
